ALIANZA, 109,869.9909,2.11
Fly Aces, 4464, 154221, 113.715, 118849, 105
Keyser, 13332.78, 136681, 146.205, 110992, 76
Ariza Airlines SKY, 4393.05, 80152, 112.005, 55503, 50
Snookski Air, 22564.23, 75598, 161.310, 84124, 52
ERCOM AIRWAYS, 7512.98, 73753, 130.530, 57760, 44
Nike-Air, 5690.59, 70829, 131.385, 71476, 54
Пикб, 17292.89, 59697, 143.925, 61953, 43
--EDA-ALP--, 16748.01, 58028, 132.810, 83283, 63
LucianAir, 5466.89, 57234, 109.155, 48320, 44
Airline sur, 19596.68, 52427, 134.805, 75952, 56
Voyage Air Inc, 3941.81, 51800, 114.855, 45993, 40
Bodoque Airlines, 4400.98, 51795, 127.395, 44166, 35
Palmera Flight, 10181.36, 49858, 143.640, 50736, 35
14 Air, 5648.77, 49130, 141.645, 39182, 28
Lineas Aereas Austral, 5136.2, 47559, 130.530, 39222, 30
PowerSky Airways, 16039.93, 45986, 128.250, 43442, 34
LUXair Transport, 14011.83, 44963, 132.810, 44856, 34
Travel_World_Uy, 2552.08, 42332, 107.445, 42141, 39
KD1, 0, 41523, 80.655, 39252, 49
BaiYun airline, 17041.91, 40052, 135.945, 31256, 23
EDRO AIR, 1075.61, 39975, 106.875, 40396, 38
Uruguay International, 2955.38, 39034, 112.005, 38819, 35
Denati Airlines, 10152.08, 38239, 115.710, 62788, 54
Blueways Airline - BA, 2920.02, 37567, 106.305, 32671, 31
IntiTravel Quis, 4703.42, 36912, 123.975, 42027, 34
SAM8 Air, 2883.97, 36394, 104.310, 29302, 28
Volemos, 996.32, 36285, 64.695, 36384, 56
UTAG National Airlines, 6495.95, 34822, 102.030, 33513, 33
KLM Royal_Dutch_Airlines, 28659.12, 34547, 140.505, 35847, 26
2M2S, 5675.32, 33636, 115.995, 36347, 31
Lumino airline, 7332.36, 33417, 121.695, 36185, 30
KLM DUTCH GLOBAL AIRWAYS, 3358.67, 32615, 84.930, 30872, 36
Kaldis Airways, 1214.2, 32507, 86.640, 30913, 36
Atlantic Air Portugal, 2548, 30714, 90.345, 21600, 24
Cai-airline, 5090.22, 30698, 120.840, 30276, 25
滴古国际航空公司, 963.3, 30276, 82.650, 27199, 33
Aviancol, 3118.96, 29109, 100.035, 22668, 23
3ya Airlines, 7145.99, 27941, 131.955, 29008, 22
Caimitos Air Ways, 3854.75, 26264, 98.325, 27508, 28
THE dai KIRI company, 3306.92, 24867, 103.170, 37200, 36
Sevilla Araya Airlines, 9558.63, 24613, 113.715, 29941, 26
Fly Pity Air, 4777.6, 23791, 82.935, 24438, 29
AirX., 1172.63, 22015, 84.930, 25959, 31
Pan Delta, 14773.1, 21916, 131.385, 30150, 23
BailyAir, 1304.47, 20134, 75.810, 23538, 31
DHRZ AIR, 4373.73, 19865, 128.535, 27891, 22
RAFER AIR, 8350.14, 16118, 127.110, 10904, 9
Air Edna, 1235.94, 15039, 39.330, 13213, 34
Cloud India, 514.45, 14326, 71.820, 19396, 27
Valert, 8.05, 4260, 18.810, 0, 0
Israel win, 1105.91, 0, 84.360, 36977, 44
Goldenline Air, 5999.1, 0, 114.855, 30048, 26
