ALIANZA,111,839.9696,2.45
Fly Aces, 4330.35, 138336, 111.435, 117128, 105
Keyser, 13255.75, 134824, 145.635, 129407, 89
Пикб, 16392.54, 82152, 142.500, 68613, 48
--EDA-ALP--, 15792.88, 79256, 132.810, 90944, 68
Nike-Air, 5300.94, 77259, 130.245, 79919, 61
Snookski Air, 22152.67, 75984, 160.740, 105553, 66
Denati Airlines, 9724.79, 75790, 114.570, 61760, 54
ERCOM AIRWAYS, 7241.14, 58323, 129.675, 49844, 38
IntiTravel Quis, 4500.16, 57546, 123.690, 40498, 33
Palmera Flight, 9915.32, 56673, 143.070, 54137, 38
Bodoque Airlines, 4233.83, 53293, 126.540, 50101, 40
Voyage Air Inc, 3716.12, 47836, 114.000, 40897, 36
Israel win, 1048.54, 47732, 82.650, 42004, 51
2M2S, 5421.55, 46916, 115.995, 43942, 38
PowerSky Airways, 15428.14, 46244, 127.110, 44996, 35
Ariza Airlines SKY, 4051.52, 46242, 109.155, 53102, 49
EDRO AIR, 992.93, 45977, 104.595, 41067, 39
LUXair Transport, 13787.06, 41617, 132.240, 46434, 35
LucianAir, 5102.18, 40388, 107.445, 44437, 41
THE dai KIRI company, 3240.99, 39427, 102.030, 47609, 47
Pan Delta, 14568.15, 39045, 130.530, 31083, 24
Airline sur, 19266.4, 38216, 134.805, 66441, 49
Volemos, 948.36, 38189, 65.265, 35865, 55
Uruguay International, 2720.77, 37827, 108.300, 41658, 38
KLM Royal_Dutch_Airlines, 28234.16, 37249, 139.935, 38332, 27
Lineas Aereas Austral, 4907.73, 37157, 129.960, 36365, 28
UTAG National Airlines, 6425.69, 36870, 102.030, 36824, 36
KLM DUTCH GLOBAL AIRWAYS, 3147.08, 36184, 79.230, 32202, 41
AirX., 1169.33, 34441, 83.790, 29619, 35
Blueways Airline - BA, 2835.52, 34326, 105.735, 33326, 32
Lumino airline, 7139.93, 33880, 121.125, 34913, 29
SAM8 Air, 2844.54, 33016, 104.310, 24663, 24
Cai-airline, 4829.75, 32847, 119.415, 32230, 27
KD1, 0, 30413, 80.655, 37156, 46
Goldenline Air, 5977.14, 30279, 114.570, 36999, 32
Kaldis Airways, 1104.85, 29659, 82.935, 33633, 41
DHRZ AIR, 4287.25, 29578, 127.680, 36893, 29
Fly Pity Air, 4655.92, 29462, 82.935, 28417, 34
RAFER AIR, 8266.51, 28812, 127.110, 26176, 21
3ya Airlines, 7038.69, 28308, 131.100, 31925, 24
滴古国际航空公司, 805.48, 27529, 84.930, 0, 0
Aviancol, 2998.49, 22516, 100.035, 16151, 16
Caimitos Air Ways, 3710.01, 21401, 98.325, 26142, 27
14 Air, 5505.19, 20676, 137.085, 23394, 17
BailyAir, 1289.08, 20126, 78.660, 36080, 46
Travel_World_Uy, 2437.42, 18054, 106.020, 36276, 34
Cloud India, 464.01, 17811, 67.830, 19006, 28
BaiYun airline, 16522.28, 16917, 135.090, 28793, 21
Atlantic Air Portugal, 2456.06, 16515, 90.060, 16916, 19
Air Edna, 1202.1, 13513, 38.190, 13700, 36
Sevilla Araya Airlines, 9443.35, 11041, 113.145, 29982, 26
